기준연월,사고건수,사망자수,부상자수
2017.02,2,0,2
2017.03,4,0,4
2017.04,4,0,5
2017.05,15,0,16
2017.06,7,1,8
2017.07,13,1,14
2017.08,17,1,17
2017.09,15,0,16
2017.10,18,0,20
2017.11,18,1,18
2017.12,4,0,4
2018.01,8
2018.02,8
2018.03,3
2018.04,16
2018.05,15
2018.06,17
2018.07,33
2018.08,28
2018.09,34
2018.10,23
2018.11,19
2018.12,21
2019.01,10
2019.02,13
2019.03,14
2019.04,19
2019.05,48
2019.06,40
2019.07,47
2019.08,61
2019.09,44
2019.10,60
2019.11,51
2019.12,40
2020.01,22
2020.02,36
2020.03,31
2020.04,56
2020.05,67
2020.06,63
2020.07,98
2020.08,86
2020.09,109
2020.10,163
2020.11,110
2020.12,56
2021.01,55
2021.02,51
2021.03,133
2021.04,173
2021.05,166
2021.06,167
2021.07,186
2021.08,181
2021.09,184
2021.10,174
2021.11,152
2021.12,113
